iter	Logloss
0	0.5983580095
1	0.4875421582
2	0.4285501386
3	0.3619411373
4	0.3263864377
5	0.2914791483
6	0.2704334782
7	0.2488338025
8	0.236273679
9	0.2266540004
10	0.219033441
11	0.2115296806
12	0.2050835224
13	0.1981352684
14	0.1929006323
15	0.1880973399
16	0.1840256414
17	0.1803670667
18	0.1784039182
19	0.1757559861
20	0.1739939305
21	0.1714126114
22	0.1695655453
23	0.1676042696
24	0.1659987049
25	0.1646632929
26	0.1633218055
27	0.1620565066
28	0.1601397988
29	0.158484731
30	0.1565236657
31	0.1555606553
32	0.1546349895
33	0.1534965624
34	0.1524626339
35	0.1513839378
36	0.1501438862
37	0.1485281276
38	0.1474728062
39	0.1466148622
40	0.1454347904
41	0.1445022135
42	0.1437112329
43	0.1425278984
44	0.1416917228
45	0.1408236824
46	0.1396743202
47	0.1387705064
48	0.1376100457
49	0.1366853255
50	0.1355462018
51	0.1343653754
52	0.1338231661
53	0.1332135848
54	0.1324011525
55	0.1313563113
56	0.1307872138
57	0.1301682399
58	0.1291232866
59	0.1281653415
60	0.1275028175
61	0.1267063338
62	0.1260191491
63	0.1256108076
64	0.1245488241
65	0.1237810021
66	0.1228234648
67	0.1222077305
68	0.1216634511
69	0.1208914691
70	0.1203013291
71	0.1196364139
72	0.1186222632
73	0.1182272255
74	0.1174747268
75	0.1167993497
76	0.1161831583
77	0.1156044565
78	0.1148478074
79	0.1141280488
80	0.1135359773
81	0.1128199187
82	0.112178525
83	0.1113128399
84	0.1105684242
85	0.1099780026
86	0.108821362
87	0.1081309156
88	0.1076008065
89	0.1071678921
90	0.1066619535
91	0.1061428631
92	0.1050190984
93	0.1045125205
94	0.1040826277
95	0.1036148533
96	0.1027370692
97	0.1021521432
98	0.1016114716
99	0.1011098439
100	0.1005595792
101	0.09966606564
102	0.09913465115
103	0.0986421544
104	0.09805766059
105	0.09750367057
106	0.09686953744
107	0.09628221825
108	0.09570490872
109	0.09505254185
110	0.09464953438
111	0.09408739315
112	0.09353623765
113	0.09300310466
114	0.09266492306
115	0.09196002021
116	0.09158934709
117	0.0911435735
118	0.09047159634
119	0.08995344016
120	0.08955911002
121	0.08905181866
122	0.08843209375
123	0.08793160892
124	0.08752034089
125	0.08649896425
126	0.08584128186
127	0.08544085426
128	0.08499444356
129	0.08467068234
130	0.08408655671
131	0.08344514208
132	0.08305202689
133	0.08244811477
134	0.08196560906
135	0.08147202803
136	0.08115766653
137	0.08102457891
138	0.08037445198
139	0.08015040104
140	0.07965130634
141	0.07901067487
142	0.07856426303
143	0.07845501682
144	0.07776911046
145	0.07721296978
146	0.07677101901
147	0.07647022688
148	0.07585533252
149	0.07530091374
150	0.07503935682
151	0.07480565294
152	0.07409007625
153	0.07369259101
154	0.07311858221
155	0.07280210133
156	0.07227562242
157	0.07184420409
158	0.07128563136
159	0.07102370174
160	0.07035979544
161	0.06970025452
162	0.06946793833
163	0.069335513
164	0.06900593008
165	0.06825767473
166	0.06786506357
167	0.0675180892
168	0.06705118591
169	0.0667838459
170	0.06649485038
171	0.06624783349
172	0.06567803156
173	0.06523832919
174	0.06488624341
175	0.06453433786
176	0.06407071463
177	0.06358261766
178	0.06320739152
179	0.0630636329
180	0.0627788353
181	0.06242896569
182	0.06196190682
183	0.06164024497
184	0.06103067271
185	0.06067940113
186	0.06020668829
187	0.05981820098
188	0.05966335493
